epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50.3922,1.53825,1.10348,1.68771,0.91795,0.99063,0.995,0.21667,2.90341,0.96522,2.33449,0.000270618,0.000270618,0.000270618
43,51.5712,1.57534,1.06128,1.78633,0.89121,0.74034,0.94372,0.39215,2.08206,1.22416,1.54038,0.000272599,0.000272599,0.000272599
44,52.7608,1.37338,0.9063,1.41278,0.89121,0.74034,0.94372,0.39215,2.08206,1.22416,1.54038,0.00027436,0.00027436,0.00027436
45,53.9383,1.71734,0.98549,1.64907,0.67169,0.56,0.75252,0.42042,1.61085,1.60868,1.25027,0.000275901,0.000275901,0.000275901
46,55.0682,1.5617,0.95622,1.66471,0.67169,0.56,0.75252,0.42042,1.61085,1.60868,1.25027,0.000277222,0.000277222,0.000277222
47,56.2585,1.36067,0.9178,1.32521,0.57942,0.5182,0.67068,0.37629,1.53652,1.68868,1.20525,0.000278323,0.000278323,0.000278323
48,57.4156,1.49417,0.98953,1.61478,0.57942,0.5182,0.67068,0.37629,1.53652,1.68868,1.20525,0.000279204,0.000279204,0.000279204
49,58.5755,1.36456,0.95305,1.47579,0.62856,0.52089,0.71467,0.38449,1.56473,1.75377,1.21623,0.000279865,0.000279865,0.000279865
50,59.6795,1.36109,0.90127,1.48344,0.62856,0.52089,0.71467,0.38449,1.56473,1.75377,1.21623,0.000280306,0.000280306,0.000280306
51,60.8246,1.47381,1.04098,1.50927,0.99688,0.27802,0.42113,0.246,1.63591,2.18009,1.25638,0.000280527,0.000280527,0.000280527
52,61.9146,1.63888,0.8705,1.47836,0.99688,0.27802,0.42113,0.246,1.63591,2.18009,1.25638,0.000280529,0.000280529,0.000280529
53,63.0123,1.37046,0.80363,1.25694,0.99688,0.27802,0.42113,0.246,1.63591,2.18009,1.25638,0.00028031,0.00028031,0.00028031
54,64.1067,1.37314,0.81292,1.39209,0.9499,0.18201,0.37352,0.21141,1.68651,2.49545,1.32703,0.000279871,0.000279871,0.000279871
55,65.2039,1.37671,0.81168,1.35581,0.9499,0.18201,0.37352,0.21141,1.68651,2.49545,1.32703,0.000279212,0.000279212,0.000279212
56,66.3346,1.4131,0.8899,1.48851,0.9499,0.18201,0.37352,0.21141,1.68651,2.49545,1.32703,0.000278333,0.000278333,0.000278333
57,67.5019,1.29919,0.7997,1.31877,0.71331,0.6009,0.65937,0.42614,1.44851,1.80436,1.19263,0.000277234,0.000277234,0.000277234
58,68.6299,1.57725,1.06531,1.63675,0.71331,0.6009,0.65937,0.42614,1.44851,1.80436,1.19263,0.000275916,0.000275916,0.000275916
59,69.7435,1.43408,0.87589,1.49902,0.71331,0.6009,0.65937,0.42614,1.44851,1.80436,1.19263,0.000274377,0.000274377,0.000274377
60,70.828,1.47601,0.99953,1.39742,0.93073,0.79594,0.965,0.40975,2.03078,1.2761,1.45732,0.000272618,0.000272618,0.000272618
61,71.9906,1.26008,0.95783,1.449,0.93073,0.79594,0.965,0.40975,2.03078,1.2761,1.45732,0.00027064,0.00027064,0.00027064
62,73.1891,1.31775,0.67739,1.2478,0.93073,0.79594,0.965,0.40975,2.03078,1.2761,1.45732,0.000268441,0.000268441,0.000268441
63,74.4098,1.19903,0.82055,1.32108,0.63484,0.81454,0.78616,0.2575,2.68362,1.33837,2.06059,0.000266022,0.000266022,0.000266022
64,75.5174,1.43615,0.81985,1.43383,0.63484,0.81454,0.78616,0.2575,2.68362,1.33837,2.06059,0.000263384,0.000263384,0.000263384
65,76.6293,1.45658,0.8774,1.53385,0.63484,0.81454,0.78616,0.2575,2.68362,1.33837,2.06059,0.000260525,0.000260525,0.000260525
66,77.7853,1.37358,0.83961,1.50553,0.90063,0.83466,0.91139,0.29147,2.34802,1.09428,1.78546,0.000257446,0.000257446,0.000257446
67,78.8904,1.2363,0.70147,1.29058,0.90063,0.83466,0.91139,0.29147,2.34802,1.09428,1.78546,0.000254148,0.000254148,0.000254148
68,80.0214,1.52848,0.82457,1.54,0.90063,0.83466,0.91139,0.29147,2.34802,1.09428,1.78546,0.000250629,0.000250629,0.000250629
69,81.1644,1.21511,0.7852,1.43043,0.91019,0.88,0.88027,0.38642,1.86514,1.24465,1.35527,0.000246891,0.000246891,0.000246891
70,82.4505,1.58548,0.79564,1.41872,0.91019,0.88,0.88027,0.38642,1.86514,1.24465,1.35527,0.000242932,0.000242932,0.000242932
71,83.6225,1.4038,0.87472,1.53396,0.91019,0.88,0.88027,0.38642,1.86514,1.24465,1.35527,0.000238754,0.000238754,0.000238754
72,84.8007,1.38132,0.73228,1.31244,0.84212,0.74406,0.71668,0.42775,1.50314,1.5535,1.17931,0.000234355,0.000234355,0.000234355
73,85.9477,1.32495,0.70866,1.3418,0.84212,0.74406,0.71668,0.42775,1.50314,1.5535,1.17931,0.000229737,0.000229737,0.000229737
74,87.0907,1.39928,0.76073,1.33666,0.84212,0.74406,0.71668,0.42775,1.50314,1.5535,1.17931,0.000224899,0.000224899,0.000224899
75,88.2327,1.57051,0.984,1.49284,0.76481,0.44784,0.584,0.37484,1.34322,1.84983,1.12298,0.00021984,0.00021984,0.00021984
76,89.3528,1.34329,0.79114,1.46631,0.76481,0.44784,0.584,0.37484,1.34322,1.84983,1.12298,0.000214562,0.000214562,0.000214562
77,90.5019,1.3208,0.70906,1.28879,0.76481,0.44784,0.584,0.37484,1.34322,1.84983,1.12298,0.000209064,0.000209064,0.000209064
78,91.6234,1.47423,0.88696,1.64888,0.60947,0.57253,0.65761,0.40852,1.30155,1.64251,1.11493,0.000203345,0.000203345,0.000203345
79,92.7909,1.36261,0.73029,1.38935,0.60947,0.57253,0.65761,0.40852,1.30155,1.64251,1.11493,0.000197407,0.000197407,0.000197407
80,93.953,1.49882,0.86089,1.45801,0.60947,0.57253,0.65761,0.40852,1.30155,1.64251,1.11493,0.000191249,0.000191249,0.000191249
